,Avg_len_binary,Avg_wid_binary
108,-0b100100010010000110011110011011101000100011001110001111100110000,-0b111100001110101111110110110011110111110101001100100101000111010
109,-0b100010010001110000100100000011100011110011101100100101011100110,0b110000001110001010110100111001101100111000011111110001110001111
110,-0b10110011111001110101010111000100110110111000101010101000100000,0b1101010010000011001110001001100010001010111010001001100100101
111,-0b10101001111100000011110100110001001001001101001111011100110000,-0b101100001010101011000100001010000101111111101100100011011111
112,0b110100110111001111010101111101101110101111011110010011010000010,0b111110011100000001110000000010011000110001111011111000001100001
113,-0b1111011100111110001011010001010011011011111000100111001110010,-0b101101011101100100001110011000010111101010101100010000010111111
114,0b10011000010101101101010011100001011011111011110000001110001000,0b1010010011100101110100010101011010001110110001100001010100100
115,-0b10101001111100000011110100110001001001001101001111011100110000,-0b100100011011011111101101000010001111101010100100001001001001001
116,-0b111101001001000001011100000010101110101100111100100001101100001,0b101001001001110110111011110100000000101011000110110010000011101
117,-0b11110111010101000000100101111000101000100011000010111011000011,-0b11110101111100101100011100000100100011100101101011111111110011
118,0b100100000011100001010100000001011111011111011110001000011001110,0b111101001000110100011110001000111100110010010110011110111010100
119,-0b10100110001011011111001010111111010100001111100001010111001110,0b101010000100100101000010011101000101001010000001100011100011011
120,0b100000011100100001100100110110010011000011000100000110011101110,-0b100100011011011111101101000010001111101010100100001001001001001
121,0b110001100000011100100010101101000111110101100111101110110011001,0b101001001001110110111011110100000000101011000110110010000011101
122,-0b11110111010101000000100101111000101000100011000010111011000011,0b101001001001110110111011110100000000101011000110110010000011101
123,0b110111101001110001010010000010011011010001000101000010100110111,-0b101101011101100100001110011000010111101010101100010000010111111
124,-0b1110001111010001011111010110111010111000011101000010011101000,0b11010000010111000001001010010010010110000011010100111100110110
125,0b111101010011010110101100000010010100111111101011101001001111100,-0b1111000010000000011010011000110101111111011000011001110
126,-0b10100110001011011111001010111111010100001111100001010111001110,-0b101100001010101011000100001010000101111111101100100011011111
127,-0b10100110001011011111001010111111010100001111100001010111001110,0b101001001001110110111011110100000000101011000110110010000011101
128,-0b111101001001000001011100000010101110101100111100100001101100001,0b111101001000110100011110001000111100110010010110011110111010100
129,-0b110011011010111001010110100100111111100100110100000000101100010,-0b101100001010101011000100001010000101111111101100100011011111
130,0b101011110110100111100000101100111000001101111011101000101110100,-0b11100110101000100110111011111100100000101010100011011000100111
131,0b110111011010101011101001000011001010100101110011100111011011100,-0b1101011011110100000111011110010101001001010000000001100100111
132,-0b111101001001000001011100000010101110101100111100100001101100001,-0b1111000010000000011010011000110101111111011000011001110
133,-0b110010100110111001011000111011011010010100100011001001100011100,-0b111100001110101111110110110011110111110101001100100101000111010
134,-0b10101001111100000011110100110001001001001101001111011100110000,-0b1000001110111010111101001110011100101011001010110001010011100
135,-0b11100010110110100100111100000011110101101000100100100110100101,-0b101111111111001000011100010101110101101111000011100010110000111
136,0b1001100110000000101000011000101001100110100011101010101011010,-0b1101011011110100000111011110010101001001010000000001100100111
137,0b10010110100011010110010001101100001100101000110101101011110,0b111101001000110100011110001000111100110010010110011110111010100
138,0b1001011001011110100101111101110110101101111000111100110100110,0b101001001001110110111011110100000000101011000110110010000011101
139,0b110100110111001111010101111101101110101111011110010011010000010,0b1101010010000011001110001001100010001010111010001001100100101
140,0b110100110111001111010101111101101110101111011110010011010000010,-0b100100011011011111101101000010001111101010100100001001001001001
141,-0b111101001001000001011100000010101110101100111100100001101100001,0b11010000010111000001001010010010010110000011010100111100110110
142,0b10011000010101101101010011100001011011111011110000001110001000,-0b101100001010101011000100001010000101111111101100100011011111
143,0b101111101101101110011111101011101011010100101000111110000111010,-0b100100011011011111101101000010001111101010100100001001001001001
144,-0b1110001111010001011111010110111010111000011101000010011101000,-0b1101011011110100000111011110010101001001010000000001100100111
145,0b10010110100011010110010001101100001100101000110101101011110,-0b101111111111001000011100010101110101101111000011100010110000111
146,0b111110000110010111000111100010010111010100011111001111010001111,-0b1111011010001111111111111000010110010011111000001100011100100
147,-0b10101001111100000011110100110001001001001101001111011100110000,-0b1111000010000000011010011000110101111111011000011001110
148,0b100011101001011101000001001100100110110111100011100111010010001,0b1000111001001100100100111111010101001111100010100101110110101
149,-0b10100110001011011111001010111111010100001111100001010111001110,0b101001001001110110111011110100000000101011000110110010000011101
