,0
82,-0b1010010001011011011011001101011011110101000100010101010000101
83,0b10000000011101000000000010001010101101110000101000001110010000
84,-0b11001011111011000000110100110000100101001011001010101101101001
85,-0b111001110000100001010100001011111010001101111111100011000011100
86,-0b100111000010000000111010011110111110110110011011010111100100101
87,0b10111101010000100000100110100111001101001101101001011100010
88,-0b101101000001000000000000010010100011111110110100111100001001001
89,0b11011001000010111001110100010111000110011000011011110010011000
90,0b101010110010011111100000010100000110010111000011010011100110101
91,-0b10001101000110100011100111100011001110101101011001001100101101
92,0b10000110111001010110100001011010111111010100001110001011001101
93,-0b1110010000111100110100111100000100111111010100000000100101100
94,-0b1111110001001111111001000110010100001010010110100010000010101
95,0b111000111011111111000111110110001101011101111011000111011101010
96,0b111000111011111111000111110110001101011101111011000111011101010
97,-0b100101001010011100010110101000111001001011000110110000000001101
98,-0b111100001100011001101110001011011001010000010100011001001011010
99,0b11111111010100010110000010000110101110011001101010100001111010
100,0b10100001010111000101000101100110110010000101010010010110101
101,0b11000001100010111101110100000111111000010100110100110001011100
102,-0b11011100101101111101101001000000111111000101101100100001001010
103,0b101010010100111011010111110001011111001011110000110101000001010
104,0b100111011000000101100001111110001011000000101110001100101011011
105,-0b110101111000000000010010110111110101100011011011101100011100010
106,-0b100001100010100010000010101010111101110011001110101010110010100
107,-0b101111001011101101110110111110001100010111111111010001000001111
108,-0b111001101101010011001010100010011000000110111110111111101001011
109,-0b1110111100111111110100111100110001100000010110110110110000000
110,-0b111111011111100101011111111101010001101010101111111011101110111
111,-0b110001010011001101010100110110011111101110111101000100011110000
112,-0b1000010011101101000111011000111110111100110101101001100110100
113,0b111100100100001111000001111001000000000111111000101100101100010
114,0b110001111111100100101100111001011001101100001001001000001000000
115,-0b10110001101011111101001000010010110110100010010000001001110000
116,-0b1101000101111000101001000110111011111100111111011111100010110
117,0b11111001110000010011000001111111001001010001101001101101111000
118,0b10010101000101000011011101001011101101110101110110100000101110
119,0b101000010111110110101111100110010000010010001111110010110100110
120,0b101111010000000011111111001101010110101001011111100110000011110
121,-0b11001001000000110100110111010001110001001000111001111100111010
122,-0b101001011100010100000101000111111101101001001001011000010110101
123,-0b10000101110001000100011001001101110100110111101000100110001110
124,0b100110110100101011000111110111010110010010010010001101111101011
125,0b110111111111011100000011110111101010010011011010000100101110000
126,0b10010100100100000001110110011001001111100010010011011010101101
127,-0b111110101001100101011100011001000010110111111101011101010111100
128,0b100010100101111010000000010000001110000000100100010110101111001
129,0b100110100100111110000001111110100111000010110110110001101110010
130,-0b11100110100111010011110111110111011001100111101110001101100110
131,-0b1010111101111011110011001110011000011110000100011011110000111
132,-0b101101101110010011010110011000101000000001110111110010111111000
133,-0b100001010011001010011100100111001111011101000110010101000010
134,-0b111101010101100011000100100101001010110000111100100100111000011
135,0b111000010110101101100011100011100000110011101100001010110011111
136,-0b111100101100100000110100001101110011111110011100011011001011000
137,-0b101000001110011110111000011111101111101100100101100110001101000
138,0b1101001100010111111100101000110001101101101110101000110000010
139,0b100111011000000101100001111110001011000000101110001100101011011
140,-0b101011000011010001101100011110000111000110100110010000011111000
141,-0b11111100100110011101110110110100000111010111111111111001000011
142,0b11000001100010111101110100000111111000010100110100110001011100
143,0b11011010110001101001010001111110000000110101011111100100110110
144,0b100010100110010111011000010000011110001000100001100111000100111
145,-0b11010000100111111010000111101101000100101101101110010010110011
146,0b1010011010011101101100001111000101001000101001000001111000100
147,0b101011111101001110000110000100011000000111010010010100101001100
148,0b100111110111010101011000001111110011010001001100010110010100111
149,-0b111110101001100101011100011001000010110111111101011101010111100
