,binarised
246,1011000010000100100000000000000000000
247,1011000000100100100000000000000000000
248,1101000100100100100000000000000000000
249,1100100110000100100011101000010000000
250,1000100010100100100000000000000000000
251,1010100010000100100011100000000000000
252,1011000100000100100000000000000000000
253,1101000110100100100011100000001000000
254,1000100110100100100000000000000000000
255,111000110100100100011100000001000000
256,1011000100000100100011100000001000000
257,1011000010100100100000000000000000000
258,1011000110100100100011100000001000000
259,1011000010100100100011100000001000000
260,1001000110100100100000000000000000000
261,1001000010100100100011100000001000000
262,1001000010100100100011100000001000000
263,111000100000100100011100000001000000
264,1011000000000100100011100000001000000
265,1011000010100100100011100000001000000
266,1001000100000100100011100000001000000
267,1011000010100100100011100000001000000
268,1011000000000100100011100000001000000
269,111000100000100100000000000000000000
270,1100100110100100100011101000010000100
271,1010100111000100100011101000001000000
272,1011000100000100100011100000001000000
273,1011000110100100100000000000000000000
274,111000000000100100000000000000000000
275,1101000010100100100011100000001000000
276,1001000100000100100000000000000000000
277,1001000000000100100011100000001000000
278,1101000000000100100011100000001000000
279,1011000110100100100011100000001000000
280,1001000010100100100000000000000000000
281,1001000110100100100011100000001000000
282,1000100011001100100000000000000000000
283,1001000000000100100000000000000000000
284,1011000100000100100000000000000000000
285,1001000110100100100011100000001000000
286,1011000100000100100011100000001000000
287,1011000000000100100011100000001000000
288,1011000110100100100011100000001000000
