,binarised
288,100000011001000010
289,100000011000010010
290,100000011000000110
291,100000001001010010
292,100000001001000110
293,100000001000010110
294,011010101001100101
295,011010101001011001
296,011010100110010110
297,011010011010100101
298,011010011001101001
299,011010011001100110
300,011010011001100000
301,011010011001001000
302,011010011000100100
303,011010011000100001
304,011010011000001001
305,011010010110100110
306,011010010110000010
307,011010010010000110
308,011010001001100100
309,011010001001100001
310,011010001001011000
311,011010001001001001
312,011010001000100101
313,011010001000011001
314,011010000110010010
315,011010000110000110
316,011010000010010110
317,011001101010100101
318,011001101010011001
319,011001101010010110
320,011001101010010000
321,011001101010000100
322,011001101010000001
323,011001101001011010
324,011001101001001000
325,011001101000011000
326,011001101000001001
327,011001100101101010
328,011001011010101001
329,011001011010001000
330,011001011001101010
331,011001011000101000
332,011001011000001010
333,011001010110101010
334,011001010000101010
335,011001001010011000
336,011001001010001001
337,011001001001101000
338,011001001001001010
339,011001001000101001
340,011001001000011010
341,011001001000001000
342,011001000100101010
343,011001000001101010
344,011000101010010100
345,011000101010010001
346,011000101010000101
347,011000101001011000
348,011000101001001001
349,011000101000011001
350,011000011010001001
351,011000011001101000
352,011000011001001010
353,011000011000101001
354,011000011000001000
355,011000010100101010
356,011000010001101010
357,011000001010011001
358,011000001001101001
359,011000001001011010
360,011000001001001000
361,011000001000011000
362,011000001000001001
363,011000000101101010
364,010110101010100101
365,010110101010011001
366,010110101010010110
367,010110101010010000
368,010110101010000100
369,010110101010000001
370,010110101001101001
371,010110101001100110
372,010110101001100000
373,010110101000100100
374,010110101000100001
375,010110100110011010
376,010110100110000010
377,010110100101101010
378,010110100010010010
379,010110100010000110
380,010110011010101001
381,010110011010100110
382,010110011010100000
383,010110011010000010
384,010110011001101010
385,010110011000101000
386,010110011000100010
387,010110010110101010
388,010110010010100010
389,010110010010001010
390,010110010000101010
391,010110001010100100
392,010110001010100001
393,010110001010010010
394,010110001010000110
395,010110001001101000
396,010110001001100010
397,010110001000101001
398,010110001000100110
399,010110001000100000
400,010110000110100010
401,010110000110001010
402,010110000100101010
403,010110000010100110
404,010110000010011010
405,010110000010000010
406,010110000001101010
407,010100101010100100
408,010100101010100001
409,010100101010011000
410,010100101010010010
411,010100101010001001
412,010100101010000110
413,010100101010000000
414,010100100100101010
415,010100100001101010
416,010100011000101010
417,010100010010101010
418,010100001001101010
419,010100000110101010
420,010100000000101010
421,010010101010010100
422,010010101010010001
423,010010101010000101
424,010010101001100100
425,010010101001100001
426,010010101000100101
427,010010100110010010
428,010010100110000110
429,010010100010010110
430,010010011010100100
431,010010011010100001
432,010010011010000110
433,010010011001101000
434,010010011001100010
435,010010011000101001
436,010010011000100110
437,010010011000100000
438,010010010110100010
439,010010010110001010
440,010010010100101010
441,010010010010100110
442,010010010010000010
443,010010010001101010
444,010010001010100101
445,010010001010010110
446,010010001001101001
447,010010001001100110
448,010010001001100000
449,010010001000100100
450,010010001000100001
451,010010000110100110
452,010010000110011010
453,010010000110000010
454,010010000101101010
455,010010000010010010
456,010010000010000110
457,010001101010100100
458,010001101010100001
459,010001101010011000
460,010001101010010010
461,010001101010001001
462,010001101010000110
463,010001101010000000
464,010001100100101010
465,010001100001101010
466,010001011000101010
467,010001010010101010
468,010001001001101010
469,010001000110101010
470,010001000000101010
471,010000101010100101
472,010000101010011001
473,010000101010010110
474,010000101010010000
475,010000101010000100
476,010000101010000001
477,010000100101101010
478,010000011001101010
479,010000010110101010
480,010000010000101010
481,010000000100101010
482,010000000001101010
483,001010011001100100
484,001010011001100001
485,001010011001011000
486,001010011001001001
487,001010011000100101
488,001010011000011001
489,001010010110010010
490,001010010110000110
491,001010010010010110
492,001010001001100101
493,001010001001011001
494,001010000110010110
495,001001101010010100
496,001001101010010001
497,001001101010000101
498,001001101001011000
499,001001101000011001
500,001001011010011000
501,001001011010001001
502,001001011001101000
503,001001011001001010
504,001001011000101001
505,001001011000011010
506,001001011000001000
507,001001010100101010
508,001001010001101010
509,001001001010011001
510,001001001001011010
511,001001001001001000
512,001001001000011000
513,001001001000001001
514,001001000101101010
515,001000101001011001
516,001000011010011001
517,001000011001101001
518,001000011001011010
519,001000011001001000
520,001000011000011000
521,001000011000001001
522,001000001001011000
523,001000001001001001
524,001000001000011001
525,000110101010010100
526,000110101010010001
527,000110101010000101
528,000110101001100100
529,000110101001100001
530,000110101000100101
531,000110100110010010
532,000110100010010110
533,000110011010100100
534,000110011010100001
535,000110011010010010
536,000110011010000110
537,000110011001101000
538,000110011001100010
539,000110011000101001
540,000110011000100110
541,000110011000100000
542,000110010110100010
543,000110010110001010
544,000110010100101010
545,000110010010100110
546,000110010010011010
547,000110010010000010
548,000110010001101010
549,000110001010100101
550,000110001010010110
551,000110001001101001
552,000110001001100110
553,000110001001100000
554,000110001000100100
555,000110001000100001
556,000110000110011010
557,000110000110000010
558,000110000101101010
559,000110000010010010
560,000110000010000110
561,000101101010100100
562,000101101010100001
563,000101101010011000
564,000101101010010010
565,000101101010001001
566,000101101010000110
567,000101101010000000
568,000101100100101010
569,000101100001101010
570,000101011000101010
571,000101010010101010
572,000101001001101010
573,000101000110101010
574,000101000000101010
575,000100101010100101
576,000100101010011001
577,000100101010010110
578,000100101010010000
579,000100101010000100
580,000100101010000001
581,000100100101101010
582,000100011001101010
583,000100010110101010
584,000100010000101010
585,000100000100101010
586,000100000001101010
587,000010101001100101
588,000010100110010110
589,000010011010100101
590,000010011010010110
591,000010011001101001
592,000010011001100110
593,000010011001100000
594,000010011000100100
595,000010011000100001
596,000010010110100110
597,000010010110011010
598,000010010110000010
599,000010010010010010
600,000010010010000110
601,000010001001100100
602,000010001001100001
603,000010001000100101
604,000010000110010010
605,000010000110000110
606,000010000010010110
607,000001101010100101
608,000001101010011001
609,000001101010010110
610,000001101010010000
611,000001101010000100
612,000001101010000001
613,000001100101101010
614,000001011001101010
615,000001010110101010
616,000001010000101010
617,000001000100101010
618,000001000001101010
619,000000101010010100
620,000000101010010001
621,000000101010000101
622,000000010100101010
623,000000010001101010
624,000000000101101010
625,101001101001010001
626,101001101001000101
627,101001101000010101
628,101001100110010100
629,101001100110010001
630,101001100101011000
631,101001100101010010
632,101001100101001001
633,101001100100011001
634,101001100100010110
635,101001100100010000
636,101001100010010101
637,101001100001011001
638,101001100001000001
639,101001011001100001
640,101001010110011000
641,101001010110010010
642,101001010101101000
643,101001010101100010
644,101001010101001010
645,101001010100011010
646,101001010001101001
647,101001001010010101
648,101001001001100101
649,101001001001000001
650,101001000110011001
651,101001000110010110
652,101001000110010000
653,101001000101101001
654,101001000101011010
655,101001000100011000
656,101001000100010010
657,101001000001100001
658,101001000001001001
659,101000101001010101
660,101000100110010101
661,101000100000010101
662,101000011010010101
663,101000010101101001
664,101000010101100110
665,101000010101100000
666,101000010101011010
667,101000010101001000
668,101000010101000010
669,101000001000010101
670,101000000010010101
671,100110101000010101
672,100110100110010100
673,100110100110000101
674,100110100101000110
675,100110100100010110
676,100110100100000100
677,100110100010010101
678,100110010110100100
679,100110010101101000
680,100110010101100010
681,100110010101001010
682,100110010100100110
683,100110001010010101
684,100110000110100101
685,100110000110000100
686,100110000101100110
687,100110000100100100
688,100110000100000110
689,100101101001001001
690,100101100110011000
691,100101100110010010
692,100101100110000110
693,100101100100011010
694,100101001001101001
695,100101000110100110
696,100101000110011010
697,100100100110010110
698,100100100110000100
699,100100100100000110
700,100100010110100110
701,100100000110100100
702,100100000110000110
703,100100000100100110
704,100010101001010101
705,100010100110010101
706,100010100000010101
707,100010011010010101
708,100010010101101001
709,100010010101100110
710,100010010101100000
711,100010010101011010
712,100010010101001000
713,100010010101000010
714,100010001000010101
715,100010000010010101
716,100001101001011001
717,100001101001000001
718,100001100110011001
719,100001100110010110
720,100001100110010000
721,100001100101011010
722,100001100100011000
723,100001100100010010
724,100001100001001001
725,100001011001101001
726,100001010110011010
727,100001001001100001
728,100001001001001001
729,100001000110011000
730,100001000110010010
731,100001000100011010
732,100001000001101001
733,100000101000010101
734,100000100010010101
735,100000010101101000
736,100000010101100010
737,100000010101001010
738,100000001010010101
739,011010101000010101
740,011010100110010001
741,011010100110000101
742,011010100101100001
743,011010100101001001
744,011010100100100101
745,011010100100011001
746,011010100100000001
747,011010100010010101
748,011010011010010100
749,011010011010010001
750,011010011001010010
751,011010011000010110
752,011010011000010000
753,011010010110100001
754,011010010110011000
755,011010010110001001
756,011010010101101000
757,011010010101100010
758,011010010101001010
759,011010010100101001
760,011010010100011010
761,011010010010011001
762,011010010010010000
763,011010010001011010
764,011010010000011000
765,011010010000010010
766,011010001010010101
767,011010000110100101
768,011010000110011001
769,011010000110000001
770,011010000101101001
771,011010000100100001
772,011010000100001001
773,011001101001100001
774,011001100110100001
775,011001100110011000
776,011001100110010010
777,011001100110001001
778,011001100100101001
779,011001100100011010
780,011001100001101001
781,011001011010010010
782,011001010010011010
783,011001000110101001
784,011001000110011010
785,011000100110100101
786,011000100110011001
787,011000100110000001
788,011000100101101001
789,011000100100100001
790,011000100100001001
791,011000011010010110
792,011000011010010000
793,011000011000010010
794,011000010110101001
795,011000010110011010
796,011000010010011000
797,011000010010010010
798,011000010000011010
799,011000000110100001
800,011000000110001001
801,011000000100101001
802,010110100110100100
803,010110100110100001
804,010110100110001001
805,010110100100101001
806,010110100100100110
807,010110011010011000
808,010110011000011010
809,010110000110101001
810,010101101001101000
811,010101101001100010
812,010101101001001010
813,010101101000101001
814,010101101000100110
815,010101101000100000
816,010101101000011010
817,010101101000001000
818,010101101000000010
819,010101100110101000
820,010101100110100010
821,010101100110001010
822,010101100010101001
823,010101100010100110
824,010101100010100000
825,010101100010011010
826,010101100010001000
827,010101100010000010
828,010101100000101000
829,010101100000100010
830,010101100000001010
831,010101011010101000
832,010101011010100010
833,010101011010001010
834,010101001010101001
835,010101001010100110
836,010101001010100000
837,010101001010011010
838,010101001010001000
839,010101001010000010
840,010101001000101000
841,010101001000100010
842,010101001000001010
843,010101000010101000
844,010101000010100010
845,010101000010001010
846,010100100110101001
847,010100100110100110
848,010100011010011010
849,010010100110100101
850,010010100110011001
851,010010100110000001
852,010010100101101001
853,010010100100100001
854,010010100100001001
855,010010011010011001
856,010010011010010000
857,010010011001011010
858,010010011000011000
859,010010011000010010
860,010010010110101001
861,010010010010011000
862,010010010000011010
863,010010000110100001
864,010010000110001001
865,010010000100101001
866,010001101001101001
867,010001100110101001
868,010001100110011010
869,010001011010011010
870,010000100110100001
871,010000100110001001
872,010000100100101001
873,010000011010011000
874,010000011010010010
875,010000011000011010
876,010000010010011010
877,010000000110101001
878,001010101001010101
879,001010100110010101
880,001010100000010101
881,001010011010010101
882,001010010101101001
883,001010010101100110
884,001010010101100000
885,001010010101011010
886,001010010101001000
887,001010010101000010
888,001010001000010101
889,001010000010010101
890,001001101001100101
891,001001101001000001
892,001001100110011001
893,001001100110010110
894,001001100110010000
895,001001100101101001
896,001001100101011010
897,001001100100011000
898,001001100100010010
899,001001100001100001
900,001001100001001001
901,001001010110011010
902,001001001001100001
903,001001000110011000
904,001001000110010010
905,001001000100011010
906,001001000001101001
907,001000101000010101
908,001000100010010101
909,001000010101101000
910,001000010101100010
911,001000010101001010
912,001000001010010101
913,000110100110100101
914,000110100110000100
915,000110100101100110
916,000110100100100100
917,000110100100000110
918,000110000110100100
919,000110000100100110
920,000101101001101001
921,000101100110100110
922,000101100110011010
923,000100100110100100
924,000100100110000110
925,000100100100100110
926,000100000110100110
927,000010101000010101
928,000010100010010101
929,000010010101101000
930,000010010101100010
931,000010010101001010
932,000010001010010101
933,000001101001100001
934,000001101001001001
935,000001100110011000
936,000001100110010010
937,000001100100011010
938,000001100001101001
939,000001001001101001
940,000001000110011010
941,101001011010100101
942,101001010110101001
943,101001010110100110
944,100110101001011001
945,100110100110011001
946,100110100101011010
947,100110011010011001
948,100110010110101001
949,100101011010101001
950,011010101001010110
951,011010100101100110
952,011010100101011010
953,011001101001100110
954,011001100110100110
955,011001011010100110
956,010110101001011010
