,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square
126,10,01,10,01,10,01,00,00,10
127,10,01,10,01,10,00,10,01,00
128,10,01,10,01,10,00,10,00,01
129,10,01,10,01,10,00,01,00,10
130,10,01,10,01,10,00,00,01,10
131,10,01,10,01,01,10,01,10,10
132,10,01,10,01,01,10,00,00,10
133,10,01,10,01,00,10,01,00,10
134,10,01,10,01,00,10,00,01,10
135,10,01,10,00,10,01,10,01,00
136,10,01,10,00,10,01,10,00,01
137,10,01,10,00,10,01,01,00,10
138,10,01,10,00,10,01,00,01,10
139,10,01,10,00,10,00,10,01,01
140,10,01,10,00,10,00,01,01,10
141,10,01,10,00,01,10,01,00,10
142,10,01,10,00,00,10,01,01,10
143,10,01,01,10,10,10,10,01,01
144,10,01,01,10,10,10,01,10,01
145,10,01,01,10,10,10,01,01,10
146,10,01,01,10,10,10,01,00,00
147,10,01,01,10,10,10,00,01,00
148,10,01,01,10,10,10,00,00,01
149,10,01,01,10,10,01,10,01,10
150,10,01,01,10,10,01,10,00,00
151,10,01,01,10,10,01,01,10,10
152,10,01,01,10,10,01,00,00,10
153,10,01,01,10,10,00,10,01,00
154,10,01,01,10,10,00,10,00,01
155,10,01,01,10,10,00,01,00,10
156,10,01,01,10,10,00,00,01,10
157,10,01,01,10,01,10,10,10,01
158,10,01,01,10,01,10,10,00,00
159,10,01,01,10,01,01,10,10,10
160,10,01,01,10,01,00,10,10,00
161,10,01,01,10,01,00,10,00,10
162,10,01,01,10,00,10,10,01,00
163,10,01,01,10,00,10,10,00,01
164,10,01,01,10,00,01,10,10,00
165,10,01,01,10,00,01,10,00,10
166,10,01,01,10,00,00,10,10,01
167,10,01,01,10,00,00,10,01,10
168,10,01,01,10,00,00,10,00,00
169,10,01,01,01,10,10,10,01,10
170,10,01,01,01,10,10,01,10,10
171,10,01,01,01,10,10,00,00,10
172,10,01,01,01,10,01,10,10,10
173,10,01,01,01,10,00,10,00,10
174,10,01,01,01,10,00,00,10,10
175,10,01,01,01,01,10,10,10,10
176,10,01,01,01,00,00,10,10,10
177,10,01,01,00,10,10,01,00,10
178,10,01,01,00,10,10,00,01,10
179,10,01,01,00,10,01,10,00,10
180,10,01,01,00,10,01,00,10,10
181,10,01,01,00,10,00,10,01,10
182,10,01,01,00,10,00,01,10,10
183,10,01,01,00,10,00,00,00,10
184,10,01,01,00,01,00,10,10,10
185,10,01,01,00,00,01,10,10,10
186,10,01,00,10,10,10,01,01,00
187,10,01,00,10,10,10,01,00,01
188,10,01,00,10,10,10,00,01,01
189,10,01,00,10,10,01,10,01,00
190,10,01,00,10,10,01,10,00,01
191,10,01,00,10,10,01,01,00,10
192,10,01,00,10,10,01,00,01,10
193,10,01,00,10,10,00,10,01,01
194,10,01,00,10,10,00,01,01,10
195,10,01,00,10,01,10,10,00,01
196,10,01,00,10,01,01,10,10,00
197,10,01,00,10,01,01,10,00,10
198,10,01,00,10,01,00,10,10,01
199,10,01,00,10,01,00,10,00,00
200,10,01,00,10,00,10,10,01,01
201,10,01,00,10,00,01,10,10,01
202,10,01,00,10,00,01,10,01,10
203,10,01,00,10,00,01,10,00,00
204,10,01,00,10,00,00,10,01,00
205,10,01,00,10,00,00,10,00,01
206,10,01,00,01,10,10,01,00,10
207,10,01,00,01,10,10,00,01,10
208,10,01,00,01,10,01,10,00,10
209,10,01,00,01,10,01,00,10,10
210,10,01,00,01,10,00,10,01,10
211,10,01,00,01,10,00,01,10,10
212,10,01,00,01,10,00,00,00,10
213,10,01,00,01,01,00,10,10,10
214,10,01,00,01,00,01,10,10,10
215,10,01,00,00,10,10,01,01,10
216,10,01,00,00,10,01,10,01,10
217,10,01,00,00,10,01,01,10,10
218,10,01,00,00,10,01,00,00,10
219,10,01,00,00,10,00,01,00,10
220,10,01,00,00,10,00,00,01,10
221,10,01,00,00,01,01,10,10,10
222,10,00,10,10,01,01,10,01,00
223,10,00,10,10,01,01,10,00,01
224,10,00,10,10,01,00,10,01,01
225,10,00,10,10,00,01,10,01,01
226,10,00,10,01,10,01,10,01,00
227,10,00,10,01,10,01,10,00,01
228,10,00,10,01,10,01,01,00,10
229,10,00,10,01,10,01,00,01,10
230,10,00,10,01,10,00,10,01,01
231,10,00,10,01,10,00,01,01,10
232,10,00,10,01,01,10,01,00,10
233,10,00,10,01,01,10,00,01,10
234,10,00,10,01,00,10,01,01,10
235,10,00,10,00,10,01,10,01,01
236,10,00,10,00,10,01,01,01,10
237,10,00,10,00,01,10,01,01,10
238,10,00,01,10,10,10,01,01,00
239,10,00,01,10,10,10,01,00,01
240,10,00,01,10,10,10,00,01,01
241,10,00,01,10,10,01,10,01,00
242,10,00,01,10,10,01,01,00,10
243,10,00,01,10,10,01,00,01,10
244,10,00,01,10,10,00,10,01,01
245,10,00,01,10,10,00,01,01,10
246,10,00,01,10,01,10,10,01,00
247,10,00,01,10,01,10,10,00,01
248,10,00,01,10,01,01,10,10,00
249,10,00,01,10,01,01,10,00,10
250,10,00,01,10,01,00,10,10,01
251,10,00,01,10,01,00,10,01,10
252,10,00,01,10,01,00,10,00,00
253,10,00,01,10,00,10,10,01,01
254,10,00,01,10,00,01,10,01,10
255,10,00,01,10,00,01,10,00,00
256,10,00,01,10,00,00,10,01,00
257,10,00,01,10,00,00,10,00,01
258,10,00,01,01,10,10,01,00,10
259,10,00,01,01,10,10,00,01,10
260,10,00,01,01,10,01,10,00,10
261,10,00,01,01,10,01,00,10,10
262,10,00,01,01,10,00,10,01,10
263,10,00,01,01,10,00,01,10,10
264,10,00,01,01,10,00,00,00,10
265,10,00,01,01,01,00,10,10,10
266,10,00,01,01,00,01,10,10,10
267,10,00,01,00,10,10,01,01,10
268,10,00,01,00,10,01,10,01,10
269,10,00,01,00,10,01,01,10,10
270,10,00,01,00,10,01,00,00,10
271,10,00,01,00,10,00,01,00,10
272,10,00,01,00,10,00,00,01,10
273,10,00,01,00,01,01,10,10,10
274,10,00,00,10,10,01,10,01,01
275,10,00,00,10,10,01,01,01,10
276,10,00,00,10,01,10,10,01,01
277,10,00,00,10,01,01,10,10,01
278,10,00,00,10,01,01,10,01,10
279,10,00,00,10,01,01,10,00,00
280,10,00,00,10,01,00,10,01,00
281,10,00,00,10,01,00,10,00,01
282,10,00,00,10,00,01,10,01,00
283,10,00,00,10,00,01,10,00,01
284,10,00,00,10,00,00,10,01,01
285,10,00,00,01,10,10,01,01,10
286,10,00,00,01,10,01,10,01,10
287,10,00,00,01,10,01,01,10,10
288,10,00,00,01,10,01,00,00,10
289,10,00,00,01,10,00,01,00,10
290,10,00,00,01,10,00,00,01,10
291,10,00,00,00,10,01,01,00,10
292,10,00,00,00,10,01,00,01,10
293,10,00,00,00,10,00,01,01,10
294,01,10,10,10,10,01,10,01,01
295,01,10,10,10,10,01,01,10,01
296,01,10,10,10,01,10,01,01,10
297,01,10,10,01,10,10,10,01,01
298,01,10,10,01,10,01,10,10,01
299,01,10,10,01,10,01,10,01,10
300,01,10,10,01,10,01,10,00,00
301,01,10,10,01,10,01,00,10,00
302,01,10,10,01,10,00,10,01,00
303,01,10,10,01,10,00,10,00,01
304,01,10,10,01,10,00,00,10,01
305,01,10,10,01,01,10,10,01,10
306,01,10,10,01,01,10,00,00,10
307,01,10,10,01,00,10,00,01,10
308,01,10,10,00,10,01,10,01,00
309,01,10,10,00,10,01,10,00,01
310,01,10,10,00,10,01,01,10,00
311,01,10,10,00,10,01,00,10,01
312,01,10,10,00,10,00,10,01,01
313,01,10,10,00,10,00,01,10,01
314,01,10,10,00,01,10,01,00,10
315,01,10,10,00,01,10,00,01,10
316,01,10,10,00,00,10,01,01,10
317,01,10,01,10,10,10,10,01,01
318,01,10,01,10,10,10,01,10,01
319,01,10,01,10,10,10,01,01,10
320,01,10,01,10,10,10,01,00,00
321,01,10,01,10,10,10,00,01,00
322,01,10,01,10,10,10,00,00,01
323,01,10,01,10,10,01,01,10,10
324,01,10,01,10,10,01,00,10,00
325,01,10,01,10,10,00,01,10,00
326,01,10,01,10,10,00,00,10,01
327,01,10,01,10,01,01,10,10,10
328,01,10,01,01,10,10,10,10,01
329,01,10,01,01,10,10,00,10,00
330,01,10,01,01,10,01,10,10,10
331,01,10,01,01,10,00,10,10,00
332,01,10,01,01,10,00,00,10,10
333,01,10,01,01,01,10,10,10,10
334,01,10,01,01,00,00,10,10,10
335,01,10,01,00,10,10,01,10,00
336,01,10,01,00,10,10,00,10,01
337,01,10,01,00,10,01,10,10,00
338,01,10,01,00,10,01,00,10,10
339,01,10,01,00,10,00,10,10,01
340,01,10,01,00,10,00,01,10,10
341,01,10,01,00,10,00,00,10,00
342,01,10,01,00,01,00,10,10,10
343,01,10,01,00,00,01,10,10,10
344,01,10,00,10,10,10,01,01,00
345,01,10,00,10,10,10,01,00,01
346,01,10,00,10,10,10,00,01,01
347,01,10,00,10,10,01,01,10,00
348,01,10,00,10,10,01,00,10,01
349,01,10,00,10,10,00,01,10,01
350,01,10,00,01,10,10,00,10,01
351,01,10,00,01,10,01,10,10,00
352,01,10,00,01,10,01,00,10,10
353,01,10,00,01,10,00,10,10,01
354,01,10,00,01,10,00,00,10,00
355,01,10,00,01,01,00,10,10,10
356,01,10,00,01,00,01,10,10,10
357,01,10,00,00,10,10,01,10,01
358,01,10,00,00,10,01,10,10,01
359,01,10,00,00,10,01,01,10,10
360,01,10,00,00,10,01,00,10,00
361,01,10,00,00,10,00,01,10,00
362,01,10,00,00,10,00,00,10,01
363,01,10,00,00,01,01,10,10,10
364,01,01,10,10,10,10,10,01,01
365,01,01,10,10,10,10,01,10,01
366,01,01,10,10,10,10,01,01,10
367,01,01,10,10,10,10,01,00,00
368,01,01,10,10,10,10,00,01,00
369,01,01,10,10,10,10,00,00,01
370,01,01,10,10,10,01,10,10,01
371,01,01,10,10,10,01,10,01,10
372,01,01,10,10,10,01,10,00,00
373,01,01,10,10,10,00,10,01,00
374,01,01,10,10,10,00,10,00,01
375,01,01,10,10,01,10,01,10,10
376,01,01,10,10,01,10,00,00,10
377,01,01,10,10,01,01,10,10,10
378,01,01,10,10,00,10,01,00,10
379,01,01,10,10,00,10,00,01,10
380,01,01,10,01,10,10,10,10,01
381,01,01,10,01,10,10,10,01,10
382,01,01,10,01,10,10,10,00,00
383,01,01,10,01,10,10,00,00,10
384,01,01,10,01,10,01,10,10,10
385,01,01,10,01,10,00,10,10,00
386,01,01,10,01,10,00,10,00,10
387,01,01,10,01,01,10,10,10,10
388,01,01,10,01,00,10,10,00,10
389,01,01,10,01,00,10,00,10,10
390,01,01,10,01,00,00,10,10,10
391,01,01,10,00,10,10,10,01,00
392,01,01,10,00,10,10,10,00,01
393,01,01,10,00,10,10,01,00,10
394,01,01,10,00,10,10,00,01,10
395,01,01,10,00,10,01,10,10,00
396,01,01,10,00,10,01,10,00,10
397,01,01,10,00,10,00,10,10,01
398,01,01,10,00,10,00,10,01,10
399,01,01,10,00,10,00,10,00,00
400,01,01,10,00,01,10,10,00,10
401,01,01,10,00,01,10,00,10,10
402,01,01,10,00,01,00,10,10,10
403,01,01,10,00,00,10,10,01,10
404,01,01,10,00,00,10,01,10,10
405,01,01,10,00,00,10,00,00,10
406,01,01,10,00,00,01,10,10,10
407,01,01,00,10,10,10,10,01,00
408,01,01,00,10,10,10,10,00,01
409,01,01,00,10,10,10,01,10,00
410,01,01,00,10,10,10,01,00,10
411,01,01,00,10,10,10,00,10,01
412,01,01,00,10,10,10,00,01,10
413,01,01,00,10,10,10,00,00,00
414,01,01,00,10,01,00,10,10,10
415,01,01,00,10,00,01,10,10,10
416,01,01,00,01,10,00,10,10,10
417,01,01,00,01,00,10,10,10,10
418,01,01,00,00,10,01,10,10,10
419,01,01,00,00,01,10,10,10,10
420,01,01,00,00,00,00,10,10,10
421,01,00,10,10,10,10,01,01,00
422,01,00,10,10,10,10,01,00,01
423,01,00,10,10,10,10,00,01,01
424,01,00,10,10,10,01,10,01,00
425,01,00,10,10,10,01,10,00,01
426,01,00,10,10,10,00,10,01,01
427,01,00,10,10,01,10,01,00,10
428,01,00,10,10,01,10,00,01,10
429,01,00,10,10,00,10,01,01,10
430,01,00,10,01,10,10,10,01,00
431,01,00,10,01,10,10,10,00,01
432,01,00,10,01,10,10,00,01,10
433,01,00,10,01,10,01,10,10,00
434,01,00,10,01,10,01,10,00,10
435,01,00,10,01,10,00,10,10,01
436,01,00,10,01,10,00,10,01,10
437,01,00,10,01,10,00,10,00,00
438,01,00,10,01,01,10,10,00,10
439,01,00,10,01,01,10,00,10,10
440,01,00,10,01,01,00,10,10,10
441,01,00,10,01,00,10,10,01,10
442,01,00,10,01,00,10,00,00,10
443,01,00,10,01,00,01,10,10,10
444,01,00,10,00,10,10,10,01,01
445,01,00,10,00,10,10,01,01,10
446,01,00,10,00,10,01,10,10,01
447,01,00,10,00,10,01,10,01,10
448,01,00,10,00,10,01,10,00,00
449,01,00,10,00,10,00,10,01,00
450,01,00,10,00,10,00,10,00,01
451,01,00,10,00,01,10,10,01,10
452,01,00,10,00,01,10,01,10,10
453,01,00,10,00,01,10,00,00,10
454,01,00,10,00,01,01,10,10,10
455,01,00,10,00,00,10,01,00,10
456,01,00,10,00,00,10,00,01,10
457,01,00,01,10,10,10,10,01,00
458,01,00,01,10,10,10,10,00,01
459,01,00,01,10,10,10,01,10,00
460,01,00,01,10,10,10,01,00,10
461,01,00,01,10,10,10,00,10,01
462,01,00,01,10,10,10,00,01,10
463,01,00,01,10,10,10,00,00,00
464,01,00,01,10,01,00,10,10,10
465,01,00,01,10,00,01,10,10,10
466,01,00,01,01,10,00,10,10,10
467,01,00,01,01,00,10,10,10,10
468,01,00,01,00,10,01,10,10,10
469,01,00,01,00,01,10,10,10,10
470,01,00,01,00,00,00,10,10,10
471,01,00,00,10,10,10,10,01,01
472,01,00,00,10,10,10,01,10,01
473,01,00,00,10,10,10,01,01,10
474,01,00,00,10,10,10,01,00,00
475,01,00,00,10,10,10,00,01,00
476,01,00,00,10,10,10,00,00,01
477,01,00,00,10,01,01,10,10,10
478,01,00,00,01,10,01,10,10,10
479,01,00,00,01,01,10,10,10,10
480,01,00,00,01,00,00,10,10,10
481,01,00,00,00,01,00,10,10,10
482,01,00,00,00,00,01,10,10,10
483,00,10,10,01,10,01,10,01,00
484,00,10,10,01,10,01,10,00,01
485,00,10,10,01,10,01,01,10,00
486,00,10,10,01,10,01,00,10,01
487,00,10,10,01,10,00,10,01,01
488,00,10,10,01,10,00,01,10,01
489,00,10,10,01,01,10,01,00,10
490,00,10,10,01,01,10,00,01,10
491,00,10,10,01,00,10,01,01,10
492,00,10,10,00,10,01,10,01,01
493,00,10,10,00,10,01,01,10,01
494,00,10,10,00,01,10,01,01,10
495,00,10,01,10,10,10,01,01,00
496,00,10,01,10,10,10,01,00,01
497,00,10,01,10,10,10,00,01,01
498,00,10,01,10,10,01,01,10,00
499,00,10,01,10,10,00,01,10,01
500,00,10,01,01,10,10,01,10,00
501,00,10,01,01,10,10,00,10,01
502,00,10,01,01,10,01,10,10,00
503,00,10,01,01,10,01,00,10,10
504,00,10,01,01,10,00,10,10,01
505,00,10,01,01,10,00,01,10,10
506,00,10,01,01,10,00,00,10,00
507,00,10,01,01,01,00,10,10,10
508,00,10,01,01,00,01,10,10,10
509,00,10,01,00,10,10,01,10,01
510,00,10,01,00,10,01,01,10,10
511,00,10,01,00,10,01,00,10,00
512,00,10,01,00,10,00,01,10,00
513,00,10,01,00,10,00,00,10,01
514,00,10,01,00,01,01,10,10,10
515,00,10,00,10,10,01,01,10,01
516,00,10,00,01,10,10,01,10,01
517,00,10,00,01,10,01,10,10,01
518,00,10,00,01,10,01,01,10,10
519,00,10,00,01,10,01,00,10,00
520,00,10,00,01,10,00,01,10,00
521,00,10,00,01,10,00,00,10,01
522,00,10,00,00,10,01,01,10,00
523,00,10,00,00,10,01,00,10,01
524,00,10,00,00,10,00,01,10,01
525,00,01,10,10,10,10,01,01,00
526,00,01,10,10,10,10,01,00,01
527,00,01,10,10,10,10,00,01,01
528,00,01,10,10,10,01,10,01,00
529,00,01,10,10,10,01,10,00,01
530,00,01,10,10,10,00,10,01,01
531,00,01,10,10,01,10,01,00,10
532,00,01,10,10,00,10,01,01,10
533,00,01,10,01,10,10,10,01,00
534,00,01,10,01,10,10,10,00,01
535,00,01,10,01,10,10,01,00,10
536,00,01,10,01,10,10,00,01,10
537,00,01,10,01,10,01,10,10,00
538,00,01,10,01,10,01,10,00,10
539,00,01,10,01,10,00,10,10,01
540,00,01,10,01,10,00,10,01,10
541,00,01,10,01,10,00,10,00,00
542,00,01,10,01,01,10,10,00,10
543,00,01,10,01,01,10,00,10,10
544,00,01,10,01,01,00,10,10,10
545,00,01,10,01,00,10,10,01,10
546,00,01,10,01,00,10,01,10,10
547,00,01,10,01,00,10,00,00,10
548,00,01,10,01,00,01,10,10,10
549,00,01,10,00,10,10,10,01,01
550,00,01,10,00,10,10,01,01,10
551,00,01,10,00,10,01,10,10,01
552,00,01,10,00,10,01,10,01,10
553,00,01,10,00,10,01,10,00,00
554,00,01,10,00,10,00,10,01,00
555,00,01,10,00,10,00,10,00,01
556,00,01,10,00,01,10,01,10,10
557,00,01,10,00,01,10,00,00,10
558,00,01,10,00,01,01,10,10,10
559,00,01,10,00,00,10,01,00,10
560,00,01,10,00,00,10,00,01,10
561,00,01,01,10,10,10,10,01,00
562,00,01,01,10,10,10,10,00,01
563,00,01,01,10,10,10,01,10,00
564,00,01,01,10,10,10,01,00,10
565,00,01,01,10,10,10,00,10,01
566,00,01,01,10,10,10,00,01,10
567,00,01,01,10,10,10,00,00,00
568,00,01,01,10,01,00,10,10,10
569,00,01,01,10,00,01,10,10,10
570,00,01,01,01,10,00,10,10,10
571,00,01,01,01,00,10,10,10,10
572,00,01,01,00,10,01,10,10,10
573,00,01,01,00,01,10,10,10,10
574,00,01,01,00,00,00,10,10,10
575,00,01,00,10,10,10,10,01,01
576,00,01,00,10,10,10,01,10,01
577,00,01,00,10,10,10,01,01,10
578,00,01,00,10,10,10,01,00,00
579,00,01,00,10,10,10,00,01,00
580,00,01,00,10,10,10,00,00,01
581,00,01,00,10,01,01,10,10,10
582,00,01,00,01,10,01,10,10,10
583,00,01,00,01,01,10,10,10,10
584,00,01,00,01,00,00,10,10,10
585,00,01,00,00,01,00,10,10,10
586,00,01,00,00,00,01,10,10,10
587,00,00,10,10,10,01,10,01,01
588,00,00,10,10,01,10,01,01,10
589,00,00,10,01,10,10,10,01,01
590,00,00,10,01,10,10,01,01,10
591,00,00,10,01,10,01,10,10,01
592,00,00,10,01,10,01,10,01,10
593,00,00,10,01,10,01,10,00,00
594,00,00,10,01,10,00,10,01,00
595,00,00,10,01,10,00,10,00,01
596,00,00,10,01,01,10,10,01,10
597,00,00,10,01,01,10,01,10,10
598,00,00,10,01,01,10,00,00,10
599,00,00,10,01,00,10,01,00,10
600,00,00,10,01,00,10,00,01,10
601,00,00,10,00,10,01,10,01,00
602,00,00,10,00,10,01,10,00,01
603,00,00,10,00,10,00,10,01,01
604,00,00,10,00,01,10,01,00,10
605,00,00,10,00,01,10,00,01,10
606,00,00,10,00,00,10,01,01,10
607,00,00,01,10,10,10,10,01,01
608,00,00,01,10,10,10,01,10,01
609,00,00,01,10,10,10,01,01,10
610,00,00,01,10,10,10,01,00,00
611,00,00,01,10,10,10,00,01,00
612,00,00,01,10,10,10,00,00,01
613,00,00,01,10,01,01,10,10,10
614,00,00,01,01,10,01,10,10,10
615,00,00,01,01,01,10,10,10,10
616,00,00,01,01,00,00,10,10,10
617,00,00,01,00,01,00,10,10,10
618,00,00,01,00,00,01,10,10,10
619,00,00,00,10,10,10,01,01,00
620,00,00,00,10,10,10,01,00,01
621,00,00,00,10,10,10,00,01,01
622,00,00,00,01,01,00,10,10,10
623,00,00,00,01,00,01,10,10,10
624,00,00,00,00,01,01,10,10,10
625,10,10,01,10,10,01,01,00,01
626,10,10,01,10,10,01,00,01,01
627,10,10,01,10,10,00,01,01,01
628,10,10,01,10,01,10,01,01,00
629,10,10,01,10,01,10,01,00,01
630,10,10,01,10,01,01,01,10,00
631,10,10,01,10,01,01,01,00,10
632,10,10,01,10,01,01,00,10,01
633,10,10,01,10,01,00,01,10,01
634,10,10,01,10,01,00,01,01,10
635,10,10,01,10,01,00,01,00,00
636,10,10,01,10,00,10,01,01,01
637,10,10,01,10,00,01,01,10,01
638,10,10,01,10,00,01,00,00,01
639,10,10,01,01,10,01,10,00,01
640,10,10,01,01,01,10,01,10,00
641,10,10,01,01,01,10,01,00,10
642,10,10,01,01,01,01,10,10,00
643,10,10,01,01,01,01,10,00,10
644,10,10,01,01,01,01,00,10,10
645,10,10,01,01,01,00,01,10,10
646,10,10,01,01,00,01,10,10,01
647,10,10,01,00,10,10,01,01,01
648,10,10,01,00,10,01,10,01,01
649,10,10,01,00,10,01,00,00,01
650,10,10,01,00,01,10,01,10,01
651,10,10,01,00,01,10,01,01,10
652,10,10,01,00,01,10,01,00,00
653,10,10,01,00,01,01,10,10,01
654,10,10,01,00,01,01,01,10,10
655,10,10,01,00,01,00,01,10,00
656,10,10,01,00,01,00,01,00,10
657,10,10,01,00,00,01,10,00,01
658,10,10,01,00,00,01,00,10,01
659,10,10,00,10,10,01,01,01,01
660,10,10,00,10,01,10,01,01,01
661,10,10,00,10,00,00,01,01,01
662,10,10,00,01,10,10,01,01,01
663,10,10,00,01,01,01,10,10,01
664,10,10,00,01,01,01,10,01,10
665,10,10,00,01,01,01,10,00,00
666,10,10,00,01,01,01,01,10,10
667,10,10,00,01,01,01,00,10,00
668,10,10,00,01,01,01,00,00,10
669,10,10,00,00,10,00,01,01,01
670,10,10,00,00,00,10,01,01,01
671,10,01,10,10,10,00,01,01,01
672,10,01,10,10,01,10,01,01,00
673,10,01,10,10,01,10,00,01,01
674,10,01,10,10,01,01,00,01,10
675,10,01,10,10,01,00,01,01,10
676,10,01,10,10,01,00,00,01,00
677,10,01,10,10,00,10,01,01,01
678,10,01,10,01,01,10,10,01,00
679,10,01,10,01,01,01,10,10,00
680,10,01,10,01,01,01,10,00,10
681,10,01,10,01,01,01,00,10,10
682,10,01,10,01,01,00,10,01,10
683,10,01,10,00,10,10,01,01,01
684,10,01,10,00,01,10,10,01,01
685,10,01,10,00,01,10,00,01,00
686,10,01,10,00,01,01,10,01,10
687,10,01,10,00,01,00,10,01,00
688,10,01,10,00,01,00,00,01,10
689,10,01,01,10,10,01,00,10,01
690,10,01,01,10,01,10,01,10,00
691,10,01,01,10,01,10,01,00,10
692,10,01,01,10,01,10,00,01,10
