,date,precip:,hail,area-damaged,seed-tmt,plant-growth,leafspots-halo,leafspot-size,leaf-malf,stem,stem-cankers,fruiting-bodies,mycelium,sclerotia,fruit spots,mold-growth,seed-size,roots
112,10,10,00,00,10,00,10,01,00,00,00,00,00,00,00,00,00,00
113,01,10,01,11,01,01,10,01,00,00,00,00,00,00,00,00,00,00
114,01,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
115,00,10,01,11,10,00,10,01,00,00,00,00,00,00,00,00,00,00
116,10,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
117,01,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
118,10,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
119,101,10,00,10,00,00,10,01,00,01,11,01,00,00,00,00,00,00
120,01,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
121,01,10,00,11,10,00,10,01,00,00,00,00,00,00,00,00,00,00
122,100,10,00,11,00,00,10,01,00,01,11,01,00,00,00,00,00,00
123,01,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
124,100,10,00,11,00,00,10,01,00,01,11,01,00,00,00,00,00,00
125,10,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
126,00,01,01,10,10,01,10,01,00,00,00,00,00,00,00,00,00,00
127,01,01,01,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
128,01,10,00,00,10,00,10,01,00,00,00,00,00,00,00,00,00,00
129,01,10,00,11,00,00,10,01,00,01,11,01,00,00,00,00,00,00
130,10,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
131,11,10,00,11,10,00,10,01,00,01,00,01,00,00,00,00,00,00
132,10,10,01,01,01,01,10,01,00,00,00,00,00,00,00,00,00,00
133,01,10,00,11,10,00,10,01,00,00,00,00,00,00,00,00,00,00
134,01,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
135,101,10,00,11,00,00,10,01,00,01,11,01,00,00,00,00,00,00
136,100,01,01,10,00,00,10,01,00,01,11,01,00,00,01,00,00,00
137,11,10,00,11,00,00,10,01,00,01,11,01,00,00,00,00,00,00
138,01,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
139,100,10,00,11,01,00,10,01,00,01,00,01,00,00,00,00,00,00
140,10,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
141,10,01,01,00,01,00,10,01,00,00,00,00,00,00,00,00,00,00
142,11,10,00,01,00,00,10,01,00,01,11,01,00,00,00,00,00,00
143,11,10,00,11,10,00,10,01,00,01,00,01,00,00,00,00,00,00
144,10,10,00,10,00,00,10,01,00,01,11,01,00,00,00,00,00,00
145,11,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
146,11,10,00,01,00,00,10,01,00,01,11,01,00,00,00,00,00,00
147,10,10,00,11,10,00,10,01,00,00,00,00,00,00,00,00,00,00
148,101,10,00,11,00,00,10,01,00,01,00,01,00,00,00,00,00,00
149,101,10,01,11,01,00,10,00,00,00,00,00,00,00,00,00,00,00
150,100,10,01,11,01,00,10,00,00,00,00,00,00,00,00,00,00,00
151,10,01,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00
152,11,01,00,10,00,00,01,00,00,00,00,00,00,00,00,00,00,00
153,11,01,00,10,00,00,01,00,01,00,00,00,00,00,00,00,00,00
154,11,10,01,01,01,00,10,00,00,00,00,00,00,00,00,00,00,00
155,11,01,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00
156,100,10,01,11,01,00,10,00,00,00,00,00,00,00,00,00,00,00
157,10,01,00,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00
158,100,10,01,01,01,00,10,00,00,00,00,00,00,00,00,00,00,00
159,10,01,00,10,00,00,01,00,00,00,00,00,00,00,00,00,00,10
160,11,10,01,11,01,01,10,00,00,00,00,00,00,00,00,01,00,00
161,10,01,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00
162,100,10,00,00,00,00,01,00,01,00,00,00,00,00,00,00,01,01
163,11,10,01,01,00,00,01,00,00,00,00,00,00,00,00,01,01,01
164,11,01,00,00,00,00,10,00,00,00,00,00,00,00,00,00,00,01
165,11,01,01,11,00,01,01,00,00,00,00,00,00,00,00,01,01,00
166,11,10,00,10,00,00,01,00,00,00,00,00,00,00,00,00,01,01
167,100,01,01,11,00,00,01,00,00,00,00,00,00,00,00,01,01,00
168,101,01,00,00,01,00,01,00,00,00,00,00,00,00,00,00,00,01
169,110,10,01,10,00,00,00,10,00,01,00,00,00,00,01,00,00,00
170,110,10,00,10,01,00,10,00,00,01,00,00,00,00,01,00,00,00
171,100,10,01,01,01,00,00,10,00,00,00,00,00,00,00,00,00,00
172,100,10,01,00,00,00,10,00,00,00,00,00,00,00,00,00,00,00
173,100,10,00,00,00,00,10,00,00,00,00,00,00,00,00,00,00,00
174,110,10,00,10,00,00,10,00,00,01,00,00,00,00,01,00,00,00
175,11,10,01,00,00,00,00,10,00,00,00,00,00,00,00,00,00,00
176,11,10,01,11,01,00,00,10,00,00,00,00,00,00,00,00,00,00
177,101,10,00,01,00,00,10,00,00,01,00,00,00,00,01,00,00,00
178,100,10,00,00,01,00,00,10,00,01,00,00,00,00,00,00,00,00
179,101,10,00,11,01,00,00,10,00,01,11,00,00,00,10,00,00,00
180,101,10,01,10,01,00,00,10,00,01,11,01,00,00,10,01,00,00
181,110,10,00,01,01,00,00,10,00,01,11,01,00,00,10,01,01,00
182,10,10,01,00,00,01,00,10,00,01,10,00,00,00,00,00,00,00
183,11,10,00,11,00,01,00,10,00,01,11,01,00,00,10,01,00,00
184,100,10,01,10,00,01,00,10,00,01,11,01,00,00,10,00,00,00
185,110,10,00,10,00,00,00,10,00,01,11,01,00,00,10,01,01,00
186,01,10,00,01,01,01,00,10,00,01,10,00,00,00,00,00,00,00
187,110,10,00,10,01,00,00,10,00,01,11,01,00,00,10,01,01,00
188,101,10,00,01,10,01,00,10,00,01,11,01,00,00,10,01,00,00
189,101,10,01,11,01,01,00,10,00,01,11,01,00,00,10,00,00,00
190,00,10,00,11,01,01,00,10,00,01,10,00,00,00,00,01,01,00
191,110,10,00,10,00,01,00,10,00,01,11,01,00,00,10,00,01,00
192,101,10,00,01,00,00,00,10,00,01,11,00,00,00,10,01,01,00
193,101,10,00,10,00,00,00,10,00,01,11,01,00,00,10,00,00,00
194,110,10,01,00,00,00,00,10,00,01,11,01,00,00,10,00,00,00
195,101,10,00,01,00,00,00,10,00,01,11,01,00,00,10,01,01,00
196,110,10,01,11,10,00,00,10,00,01,11,01,00,00,10,00,00,00
197,101,10,00,11,00,00,00,10,00,01,11,00,00,00,10,01,01,00
198,101,10,00,10,01,00,00,10,00,01,11,00,00,00,10,01,01,00
199,11,01,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
200,11,00,01,10,00,00,10,01,01,00,00,00,00,00,00,00,00,00
201,11,01,00,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
202,11,00,01,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
203,11,01,00,10,01,00,10,01,01,00,00,00,00,00,00,00,00,00
204,10,00,01,11,10,00,10,01,00,00,00,00,00,00,00,00,00,00
205,01,00,01,10,01,00,10,01,01,00,00,00,00,00,00,00,00,00
206,10,01,00,10,01,00,10,01,01,00,00,00,00,00,00,00,00,00
207,10,00,01,00,01,01,10,01,00,00,00,00,00,00,00,00,00,00
208,10,01,00,11,10,00,10,01,00,00,00,00,00,00,00,00,00,00
209,100,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
210,100,01,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
211,11,10,00,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
212,110,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
213,110,01,01,10,10,00,10,01,00,00,00,00,00,00,00,00,00,00
214,101,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
215,110,01,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
216,101,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
217,110,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
218,110,10,00,10,01,00,10,01,00,00,00,00,00,00,00,00,00,00
219,101,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
220,100,10,00,00,01,00,10,01,00,00,00,00,00,00,00,00,00,00
221,110,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
222,101,10,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
223,101,10,00,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
224,100,10,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
225,100,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
226,101,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
227,110,10,00,10,01,00,10,01,00,00,00,00,00,00,00,00,00,00
228,110,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
229,101,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
230,101,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
231,100,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
232,110,01,00,10,10,00,10,01,00,00,00,00,00,00,00,00,00,00
233,100,10,00,10,01,00,10,01,00,00,00,00,00,00,00,00,00,00
234,110,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
235,100,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
236,100,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
237,101,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
238,11,10,00,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
239,101,10,00,10,01,00,10,01,00,00,00,00,00,00,00,00,00,00
240,101,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
241,100,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
242,101,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
243,110,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
244,101,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
245,110,10,00,11,00,00,10,01,00,00,00,00,00,00,00,00,00,00
246,101,10,00,01,00,00,10,01,00,00,00,00,00,00,00,00,00,00
247,101,10,00,00,01,00,10,01,00,00,00,00,00,00,00,00,00,00
248,110,10,00,10,01,00,10,01,00,00,00,00,00,00,00,00,00,00
249,110,01,00,11,00,00,10,01,00,01,11,01,00,00,10,00,00,00
250,100,01,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
251,101,01,00,01,00,00,10,01,00,01,11,00,00,00,00,00,00,00
252,101,10,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
253,110,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
254,100,01,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
255,11,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
256,101,10,00,10,00,00,10,01,00,01,11,00,00,00,01,00,00,00
257,101,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
258,101,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
259,101,10,00,01,01,00,10,01,00,01,11,00,00,00,01,00,00,00
260,100,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
261,100,10,00,01,01,00,10,01,00,01,11,00,00,00,01,00,00,00
262,100,10,00,01,01,00,10,01,00,01,11,00,00,00,01,00,00,00
263,11,10,00,10,00,00,10,01,00,01,11,00,00,00,01,00,00,00
264,101,10,00,00,00,00,10,01,00,01,11,00,00,00,01,00,00,00
265,101,10,00,01,01,00,10,01,00,01,11,00,00,00,01,00,00,00
266,100,10,00,10,00,00,10,01,00,01,11,00,00,00,01,00,00,00
267,101,10,00,01,01,00,10,01,00,01,11,00,00,00,01,00,00,00
268,101,10,00,00,00,00,10,01,00,01,11,00,00,00,01,00,00,00
269,11,10,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
270,110,01,00,11,01,00,10,01,00,01,11,01,00,00,10,00,01,00
271,101,01,00,11,10,00,10,01,00,01,11,01,00,00,01,00,00,00
272,101,10,00,10,00,00,10,01,00,01,11,00,00,00,01,00,00,00
273,101,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
274,11,10,00,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
275,110,10,00,01,01,00,10,01,00,01,11,00,00,00,01,00,00,00
276,100,10,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
277,100,10,00,00,00,00,10,01,00,01,11,00,00,00,01,00,00,00
278,110,10,00,00,00,00,10,01,00,01,11,00,00,00,01,00,00,00
279,101,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
280,100,10,00,01,01,00,10,01,00,00,00,00,00,00,00,00,00,00
281,100,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
282,100,01,00,01,10,01,10,01,00,00,00,00,00,00,00,00,00,00
283,100,10,00,00,00,00,10,01,00,00,00,00,00,00,00,00,00,00
284,101,10,00,10,00,00,10,01,00,00,00,00,00,00,00,00,00,00
285,100,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
286,101,10,00,10,00,00,10,01,00,01,11,00,00,00,01,00,00,00
287,101,10,00,00,00,00,10,01,00,01,11,00,00,00,01,00,00,00
288,101,10,00,11,01,00,10,01,00,01,11,00,00,00,01,00,00,00
